benchmark,status,solution
qm_loop_3.sl,timeout,-
inv_gen_array.sl,timeout,-
unbdd_inv_gen_sum1.sl,timeout,-
t9.sl,success,(<= yearInt yearInt)
MPwoL_d5s7.sl,timeout,-
qm_neg_eq_3.sl,timeout,-
unbdd_inv_gen_finf1.sl,success,(and (= (+ (* -1 x) (* -1 x)) 0) (<= (+ (* -1 x) (* -1 x)) 0))
mpg_plane1.sl,success,(+ y x)
inv_gen_winf1.sl,success,(and (= (+ (* -1 x) (* 0 x)) 0) (<= (+ (* -1 x) (* 0 x)) 3))
qm_loop_1.sl,success,(ite (< 0 x) (- x 1) 3)
qm_neg_1.sl,success,(ite (< x 0) 1 0)
t10.sl,success,(> this.total this.total)
inv_gen_tcs.sl,"   Compiling liasynth v0.1.0 (/home/guy/Documents/phdstuff/projects/liasynth)
    Finished `release` profile [optimized + debuginfo] target(s) in 2.75s
     Running `target/release/liasynth examples/LIA/inv_gen_tcs.sl`
Candidate: (and (<= (+ (* 0 x) (* 0 x)) -3) (<= (+ (* 0 x) (* 0 x)) -3))
Candidate: (and (<= (+ (* 0 x) (* 0 x)) 3) (<= (+ (* 0 x) (* 0 x)) 3))
Candidate: (and (= (+ (* -1 y) (* -1 y)) 0) (<= (+ (* 0 y) (* 0 y)) 3))
Candidate: (or (= (+ (* -1 y) (* -1 y)) 0) (<= (+ (* -1 i) (* 0 j)) -1))
Candidate: (or (= (+ (* -1 y) (* 1 i)) 0) (= (+ (* 1 i) (* -1 j)) 1))
Candidate: (and (<= (+ (* 1 y) (* 1 y)) 1) (= (+ (* -1 j) (* -1 j)) 0))
Candidate: (or (= (+ (* 1 y) (* 0 j)) 0) (= (+ (* -1 i) (* -1 j)) -1))

thread 'main' panicked at src/synth.rs:82:5:
infeasible
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
",-
