benchmark,status,solution
qm_loop_3.sl,timeout,-
inv_gen_array.sl,timeout,-
unbdd_inv_gen_sum1.sl,timeout,-
t9.sl,success,(= yearInt yearInt)
MPwoL_d5s7.sl,timeout,-
qm_neg_eq_3.sl,timeout,-
unbdd_inv_gen_finf1.sl,timeout,-
mpg_plane1.sl,success,(+ y x)
inv_gen_winf1.sl,success,(= 0 x)
qm_loop_1.sl,success,(ite (< x 1) (+ (+ 1 1) 1) (- x 1))
qm_neg_1.sl,success,(ite (< x 0) 1 0)
t10.sl,success,(< this.total this.total)
inv_gen_tcs.sl,timeout,-
inv_gen_cegar2.sl,timeout,-
inv_gen_fig3.sl,"   Compiling liasynth v0.1.0 (/home/guy/Documents/phdstuff/projects/liasynth)
    Finished `release` profile [optimized + debuginfo] target(s) in 2.40s
     Running `target/release/liasynth examples/cleaned-LIA/inv_gen_fig3.sl`
Candidate: (= x x)
Candidate: (< x x)
Candidate: (= 1 l)
Candidate: (= (- l x) 1)

thread 'main' has overflowed its stack
fatal runtime error: stack overflow, aborting
Aborted (core dumped)
",-
mpg_example5.sl,timeout,-
inv_gen_vmail.sl,success,(< (- i) 1)
MPwoL_d4s3.sl,timeout,-
qm_neg_eq_2.sl,success,(ite (and (< y 1) (< x 1)) 1 0)
inv_gen_w1.sl,timeout,-
t14.sl,success,(= newLength newLength)
array_search_13.sl,timeout,-
array_search_4.sl,timeout,-
s2.sl,success,(- 1)
inv_gen_n_c11.sl,timeout,-
qm_max5.sl,timeout,-
mpg_example1.sl,timeout,-
MPwL_d4s7.sl,timeout,-
unbdd_inv_gen_ex23.sl,timeout,-
unbdd_inv_gen_trex1.sl,timeout,-
unbdd_inv_gen_w1.sl,timeout,-
max7.sl,timeout,-
