,bench,cvc5,default,default-winning,default-winning-many,egraph,learned,learned-winning,learned-winning-many,random,random-winning,random-winning-many,size,size-winning,size-winning-many
0,LinExpr_eq1ex,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,LinExpr_eq2ex,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,LinExpr_inv1,38.77,3.374,3.532,3.609,1.085,4.554,24.552,8.62,-,-,-,68.753,12.069,10.507
3,LinExpr_inv1_ex,64.093,2.836,-,-,-,3.839,3.603,2.757,-,-,-,2.509,2.52,2.511
4,MPwL_d1s3,0.171,3.35,3.359,3.972,0.104,3.239,3.577,2.677,4.034,3.72,3.54,3.006,2.831,2.824
5,MPwL_d1s7,1.91,3.66,3.466,4.19,0.185,3.328,3.735,2.652,4.079,3.472,3.5,2.691,2.811,2.888
6,MPwL_d4s3,0.664,14.306,8.668,8.311,-,5.722,3.731,3.419,-,-,-,2.889,3.743,3.655
7,MPwL_d4s7,19.346,9.927,10.732,10.391,-,27.4,-,7.492,13.988,-,10.693,3.104,8.452,9.426
8,MPwL_d5s3,6.938,-,-,-,-,-,-,-,-,-,-,-,-,-
9,MPwL_d5s7,-,60.253,-,-,-,-,-,-,-,-,-,-,-,-
10,MPwoL_d1s3,0.183,4.133,4.754,3.356,0.102,3.207,3.36,2.678,3.929,4.142,3.451,2.922,2.778,2.808
11,MPwoL_d1s7,4.409,3.353,4.193,3.552,0.212,3.214,4.076,2.739,3.879,3.863,3.626,2.638,2.868,2.878
12,MPwoL_d4s3,0.809,-,14.421,13.527,-,29.384,5.455,3.423,-,-,-,3.499,3.632,3.75
13,MPwoL_d4s7,21.947,9.403,71.764,121.061,-,-,-,15.485,-,-,-,3.656,5.242,5.881
14,MPwoL_d5s3,4.562,-,-,-,-,-,-,-,-,-,-,-,-,-
15,MPwoL_d5s7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,array_search_10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,array_search_11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,array_search_12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,array_search_13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,array_search_14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,array_search_15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,array_search_2,0.228,2.907,5.765,5.213,-,5.443,7.455,2.841,-,-,-,3.292,3.449,22.188
23,array_search_3,8.633,2.989,4.228,4.788,-,6.331,10.446,4.573,-,-,-,27.143,26.199,38.437
24,array_search_4,-,-,75.307,37.504,-,-,-,-,-,-,-,-,-,-
25,array_search_5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,array_search_6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,array_search_7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,array_search_8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,array_search_9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,commutative,0.006,3.206,2.756,2.757,0.092,4.187,4.799,2.36,2.709,3.779,3.83,2.475,2.334,2.295
31,constant,0.005,3.24,2.705,2.758,0.086,4.099,5.415,2.876,2.624,3.782,3.723,2.638,2.545,2.758
32,inv_gen_array,0.48,4.777,3.174,3.089,1.869,5.13,6.511,2.658,2.89,6.269,5.054,4.11,3.033,4.363
33,inv_gen_cegar2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,inv_gen_cgr1,0.04,4.407,2.96,3.012,0.1,4.715,4.357,2.615,3.81,3.429,3.476,2.71,2.875,2.897
35,inv_gen_ex14,0.032,4.608,2.857,2.829,0.094,4.441,4.034,2.533,3.838,3.324,3.284,2.568,2.824,2.673
36,inv_gen_ex23,-,-,9.334,65.288,-,67.278,31.995,38.908,-,7.617,13.814,-,14.882,27.254
37,inv_gen_ex7,0.791,3.807,2.898,4.653,0.684,3.788,3.477,2.65,3.325,2.888,4.149,2.347,2.903,3.096
38,inv_gen_fig1,0.056,3.402,2.941,4.609,0.238,3.466,3.519,2.661,3.385,2.916,3.331,2.399,2.876,2.882
39,inv_gen_fig3,0.718,3.902,3.466,4.142,2.969,3.339,3.611,2.553,2.831,4.148,3.229,2.323,2.4,2.983
40,inv_gen_fig6,0.022,3.739,3.395,5.373,0.085,3.643,3.517,2.512,2.739,3.361,3.22,2.3,2.728,2.789
