benchmark,status,solution
qm_loop_3.sl,success,(ite (< (- z (- 0 y)) 1) (ite (< 1 x) (- x (+ 1 y)) (ite (< (- 0 y) x) z 3)) x)
inv_gen_array.sl,infeasible,-
unbdd_inv_gen_sum1.sl,infeasible,-
t9.sl,success,(< yearInt 9999)
MPwoL_d5s7.sl,"   Compiling liasynth v0.1.0 (/home/guy/Documents/phdstuff/projects/liasynth)
    Finished `release` profile [optimized + debuginfo] target(s) in 2.32s
     Running `target/release/liasynth examples/LIA/MPwoL_d5s7.sl`
memory allocation of 240 bytes failed
Aborted (core dumped)
",-
qm_neg_eq_3.sl,success,(ite (< (ite (< (ite (< y x) x z) x) 0 (ite (< (ite (< 0 (ite (< y x) z 1)) z (ite (< z (ite (< y x) x z)) 0 (- 1 x))) (ite (< (ite (< y x) x z) (ite (< (ite (< y x) z 1) 0) (- 1 x) (ite (< z (ite (< y x) x z)) 0 (- 1 x)))) (ite (< (ite (< z (ite (< y x) x z)) 0 (- 1 x)) (- 1 x)) 1 (ite (< y x) z 1)) (ite (< 0 (ite (< y x) z 1)) z (ite (< z (ite (< y x) x z)) 0 (- 1 x))))) (ite (< (ite (< y x) 0 1) (ite (< (ite (< z (ite (< y x) x z)) 0 (- 1 x)) (- 1 x)) 1 (ite (< y x) z 1))) (ite (< (ite (< z (ite (< y x) x z)) 0 (- 1 x)) 1) (ite (< y x) y 1) (ite (< y x) z 1)) (ite (< z (ite (< y x) x z)) 0 (- 1 x))) (ite (< y x) x z))) y) 0 (ite (< (ite (< y x) z 1) x) (ite (< (ite (< 0 (ite (< y x) z 1)) z (ite (< y x) x z)) (- 1 x)) 1 0) (ite (< (ite (< 0 (ite (< y x) z 1)) z (ite (< y x) x z)) 1) (ite (< y (ite (< y x) z 1)) 1 0) 0)))
unbdd_inv_gen_finf1.sl,success,(and (= (+ (* -1 x) (* -1 x)) 0) (<= (+ (* 0 i) (* 0 i)) 0))
mpg_plane1.sl,timeout,-
inv_gen_winf1.sl,success,(and (= (+ (* 1 x) (* 0 x)) 0) (<= (+ (* 0 x) (* 0 x)) 3))
qm_loop_1.sl,success,(ite (< 3 (+ 3 x)) (- x 1) 3)
